well,model,true_peak_count,pred_peak_count,tp,fp,fn,precision,recall,f1,detection_rate,amplitude_mae,amplitude_rmse,amplitude_mape,max_amplitude_error,mean_timing_error,std_timing_error,max_timing_error,composite_score
裂隙水,LSTM,3,3,3,0,0,1.0,1.0,1.0,1.0,0.07740379565024114,0.07833248368514818,0.03056782532248375,0.09438449257950765,0.3333333333333333,0.4714045207910317,1.0,0.9499083245472247
裂隙水,Transformer,3,3,3,0,0,1.0,1.0,1.0,1.0,0.03723867018536945,0.03979465276115139,0.014708795332353787,0.05665203655766504,0.6666666666666666,0.4714045207910317,1.0,0.9199558801035082
裂隙水,TCN,3,3,3,0,0,1.0,1.0,1.0,1.0,0.1172174512967672,0.1331889631121751,0.04628131625073234,0.20432932553208616,0.6666666666666666,0.4714045207910317,1.0,0.9198612202803288
裂隙水,Stacking,3,4,3,1,0,0.75,1.0,0.8571428571428571,1.0,0.15791073373710182,0.15887049175964044,0.062370033178419736,0.17988813650089241,1.0,0.816496580927726,2.0,0.8283844350997837
