well,model,RMSE,MAE,R2,NSE
岩溶水,LSTM,0.3764827379668674,0.2804915964793733,0.9751270004705723,0.9751270004705723
岩溶水,Transformer,0.4028660829479873,0.3108918107238374,0.9715187243510988,0.9715187243510988
岩溶水,TCN,0.5293330708098284,0.40578620458791065,0.9508304672679576,0.9508304672679576
岩溶水,Stacking,0.44975875416647454,0.34569718166022506,0.9645025402277868,0.9645025402277868
孔隙水,LSTM,0.04301580359997617,0.029488449848468084,0.9904651662517985,0.9904651662517985
孔隙水,Transformer,0.05759054405433068,0.042532065670674545,0.9829093174917884,0.9829093174917884
孔隙水,TCN,0.07612656080042686,0.06327622864221435,0.9701372730238098,0.9701372730238098
孔隙水,Stacking,0.0472988400092798,0.03433609217769988,0.9884718923405932,0.9884718923405932
裂隙水,LSTM,0.08953992718362033,0.06660373365835982,0.9596929009850496,0.9596929009850496
裂隙水,Transformer,0.09388831956630878,0.06410319700291467,0.9556829135688044,0.9556829135688044
裂隙水,TCN,0.12322190272656608,0.09240633859704818,0.9236649683884134,0.9236649683884134
裂隙水,Stacking,0.09657846719244277,0.06991628815008533,0.9531069279335731,0.9531069279335731
