split,dropout,model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,NSE_mean,NSE_std
selection,0.0,LSTM,0.12061655776520948,0.10382827987655116,0.21007007326459226,0.21404513253585625,0.9351764647182201,0.033489223002230915,0.9351764647182201,0.033489223002230915
selection,0.0,Persistence,0.12972945029333716,0.10955485699503523,0.22438953612387597,0.22772367581260866,0.9251642661694134,0.041489912036064565,0.9251642661694134,0.041489912036064565
selection,0.0,Stacking,0.13089833015214594,0.1172590260429637,0.21848931865955526,0.22169247175089946,0.9295231822964879,0.041480463149522154,0.9295231822964879,0.041480463149522154
selection,0.0,TCN,0.14035908985787401,0.11024152414662752,0.22794240878799027,0.21662354262506825,0.9221978634036172,0.03070993332716278,0.9221978634036172,0.03070993332716278
selection,0.0,Transformer,0.12055633795979495,0.11652789939095862,0.20659446847001345,0.21878546564144627,0.9378551325448137,0.03498081576692781,0.9378551325448137,0.03498081576692781
selection,0.1,LSTM,0.11963780452224444,0.10034122724629516,0.20863536617739123,0.20956149091825976,0.9351340923525486,0.03264937445969645,0.9351340923525486,0.03264937445969645
selection,0.1,Persistence,0.12972945029333716,0.10955485699503523,0.22438953612387597,0.22772367581260866,0.9251642661694134,0.041489912036064565,0.9251642661694134,0.041489912036064565
selection,0.1,Stacking,0.136273671450189,0.11865541808225485,0.22454847545294232,0.22153763539043606,0.9222054838726125,0.054469054508046094,0.9222054838726125,0.054469054508046094
selection,0.1,TCN,0.14309883432104534,0.10966202561400702,0.2297442872566124,0.2153514965352655,0.9206904042003133,0.031775848741495104,0.9206904042003133,0.031775848741495104
selection,0.1,Transformer,0.12299282921432944,0.12400126590518304,0.21002262403125524,0.22854129510396612,0.9372874545378502,0.03498222895906141,0.9372874545378502,0.03498222895906141
selection,0.2,LSTM,0.1223144820445621,0.10659659612145861,0.21081743670845007,0.2154181049492961,0.9348099851600185,0.0340505140745676,0.9348099851600185,0.0340505140745676
selection,0.2,Persistence,0.12972945029333716,0.10955485699503523,0.22438953612387597,0.22772367581260866,0.9251642661694134,0.041489912036064565,0.9251642661694134,0.041489912036064565
selection,0.2,Stacking,0.13577788051125783,0.12344311171495748,0.21998232848831475,0.22461616812077914,0.9298299090795048,0.038418574107800585,0.9298299090795048,0.038418574107800585
selection,0.2,TCN,0.14897161232241782,0.12395082901866963,0.2324964508562638,0.22141239275504257,0.9195788271995932,0.03404088884639699,0.9195788271995932,0.03404088884639699
selection,0.2,Transformer,0.12749137395042537,0.1300773449985667,0.2079982130319405,0.22260733237477928,0.937398518446553,0.034934337217964545,0.937398518446553,0.034934337217964545
selection,0.3,LSTM,0.12395113502612103,0.10703001436568338,0.21260956277855372,0.21814758712112656,0.9332171805814011,0.03399232932311844,0.9332171805814011,0.03399232932311844
selection,0.3,Persistence,0.12972945029333716,0.10955485699503523,0.22438953612387597,0.22772367581260866,0.9251642661694134,0.041489912036064565,0.9251642661694134,0.041489912036064565
selection,0.3,Stacking,0.13738240969664658,0.12217964981985599,0.224622868049314,0.22726052209744313,0.9264177086195144,0.04139323720915694,0.9264177086195144,0.04139323720915694
selection,0.3,TCN,0.1512986969839433,0.12433085662438095,0.23516486408747556,0.22189972340944228,0.917298724461426,0.03357542379251479,0.917298724461426,0.03357542379251479
selection,0.3,Transformer,0.12159671495542211,0.11261677144512978,0.2086873611583666,0.22063666510004204,0.9367236591725701,0.034579832429326336,0.9367236591725701,0.034579832429326336
selection,0.4,LSTM,0.1236565690912477,0.10472050269476212,0.2133826635216825,0.21444543820656695,0.9334550993839612,0.031834279956109844,0.9334550993839612,0.031834279956109844
selection,0.4,Persistence,0.12972945029333716,0.10955485699503523,0.22438953612387597,0.22772367581260866,0.9251642661694134,0.041489912036064565,0.9251642661694134,0.041489912036064565
selection,0.4,Stacking,0.13289841025015917,0.11441516786188954,0.21809151759281983,0.21135529794410657,0.9300976396207667,0.033297544761704524,0.9300976396207667,0.033297544761704524
selection,0.4,TCN,0.14492535113519692,0.11289702508847471,0.22931261931196958,0.21004329967828198,0.9197653878901976,0.03020385780521399,0.9197653878901976,0.03020385780521399
selection,0.4,Transformer,0.12259136059527001,0.11761380581842401,0.21110117243655135,0.22837647730842095,0.9362843759696169,0.034636687689910434,0.9362843759696169,0.034636687689910434
selection,0.5,LSTM,0.12457147838284881,0.10422381788053897,0.21370536386929323,0.21357742829818369,0.932242863709217,0.03285929997384363,0.932242863709217,0.03285929997384363
selection,0.5,Persistence,0.12972945029333716,0.10955485699503523,0.22438953612387597,0.22772367581260866,0.9251642661694134,0.041489912036064565,0.9251642661694134,0.041489912036064565
selection,0.5,Stacking,0.1414505867930814,0.1289046486561826,0.2259632463342565,0.22511757421288414,0.9248465850784845,0.042670397988485834,0.9248465850784845,0.042670397988485834
selection,0.5,TCN,0.1577301519146645,0.13337937168481126,0.23942695366686662,0.2240509955811657,0.9153317932067109,0.02853597115487473,0.9153317932067109,0.02853597115487473
selection,0.5,Transformer,0.1289245215725764,0.11992467876672924,0.21317708306204455,0.22347619744617048,0.9355597495722541,0.03206767906413983,0.9355597495722541,0.03206767906413983
