well,model,RMSE,MAE,R2,NSE
岩溶水,LSTM,0.05335952322962712,0.03790926840598083,0.9240506090791479,0.9240506090791479
岩溶水,Transformer,0.05868482790767938,0.04183924514304974,0.9081345757272735,0.9081345757272735
岩溶水,TCN,0.06195955190733069,0.04753871335034425,0.8975959929216116,0.8975959929216116
岩溶水,Stacking,0.06340068709054239,0.045314985305395156,0.8927769039238165,0.8927769039238165
孔隙水,LSTM,0.05707284188396772,0.041971074526259346,0.9418703598112534,0.9418703598112534
孔隙水,Transformer,0.03245575610444907,0.02264825185803616,0.9812015474583186,0.9812015474583186
孔隙水,TCN,0.05304105673392112,0.03756842821234258,0.9497931500575832,0.9497931500575832
孔隙水,Stacking,0.042846498544001826,0.03047209024120837,0.9672380825569415,0.9672380825569415
裂隙水,LSTM,0.04340434695361341,0.03241482063056926,0.9831723733689942,0.9831723733689942
裂隙水,Transformer,0.0418128529908703,0.03156114981968091,0.984383776439855,0.984383776439855
裂隙水,TCN,0.07108581817404895,0.058330183137673686,0.9548640749765798,0.9548640749765798
裂隙水,Stacking,0.05097279225198942,0.040461911189428136,0.9767922379062305,0.9767922379062305
