well,model,RMSE,MAE,R2,NSE
岩溶水,LSTM,0.37861171456914133,0.2991328691585003,0.975097705486408,0.975097705486408
岩溶水,Transformer,0.45643226508483414,0.35251912122525664,0.963808719898707,0.963808719898707
岩溶水,TCN,0.6644709515092586,0.5237350731776095,0.9232986036977774,0.9232986036977774
岩溶水,Stacking,0.5363527145680269,0.381837931439518,0.950025065157201,0.950025065157201
孔隙水,LSTM,0.046863310705714256,0.03483213104771791,0.980383462731984,0.980383462731984
孔隙水,Transformer,0.031212063790799605,0.022749143371092774,0.9912983545011214,0.9912983545011214
孔隙水,TCN,0.053836283460483164,0.04122591214533463,0.9741115197252789,0.9741115197252789
孔隙水,Stacking,0.04812957415660806,0.0371724508551774,0.9793090489677361,0.9793090489677361
裂隙水,LSTM,0.08680325795715496,0.06280995280787947,0.9582518313397083,0.9582518313397083
裂隙水,Transformer,0.08429617628254743,0.06008979439410216,0.9606285754908844,0.9606285754908844
裂隙水,TCN,0.11205686115913431,0.0823484811745983,0.9304267510966198,0.9304267510966198
裂隙水,Stacking,0.12327156494400839,0.08036868277219834,0.9158040509265699,0.9158040509265699
