well,model,RMSE,MAE,R2,NSE
岩溶水,LSTM,0.3396951346422546,0.24539971252889003,0.980410206105755,0.980410206105755
岩溶水,Transformer,0.48376864538601944,0.3544715166988251,0.9602692606148312,0.9602692606148312
岩溶水,TCN,0.5183053691357741,0.4071046715848166,0.9543939321583309,0.9543939321583309
岩溶水,Stacking,0.43137271778364245,0.3131616653418744,0.9684094954183271,0.9684094954183271
孔隙水,LSTM,0.05305545573215309,0.03691433200383565,0.985012181844612,0.985012181844612
孔隙水,Transformer,0.04311910993758895,0.029613059301605665,0.9901003944222001,0.9901003944222001
孔隙水,TCN,0.07919047344335707,0.06049527428954823,0.9666094021269371,0.9666094021269371
孔隙水,Stacking,0.043980248879522385,0.03006602805244918,0.9897010326383446,0.9897010326383446
裂隙水,LSTM,0.0940915054991371,0.06484032417054364,0.9540911276685679,0.9540911276685679
裂隙水,Transformer,0.09202282845880361,0.06346578493691692,0.9560876230374507,0.9560876230374507
裂隙水,TCN,0.11597639232980889,0.08390925859442859,0.9302514826166847,0.9302514826166847
裂隙水,Stacking,0.0952040869922198,0.06512493145186227,0.9529990132926772,0.9529990132926772
