split,aquifer_type,well,model,RMSE,MAE,R2,NSE
test,裂隙水,裂隙水1,Persistence,0.22857458621512033,0.15471544715446994,0.9256058455863538,0.9256058455863538
test,裂隙水,裂隙水1,LSTM,0.2458961234196846,0.15589045545873367,0.913903342462944,0.913903342462944
test,裂隙水,裂隙水1,Transformer,0.22473872412636542,0.1453421469001138,0.9280818099122662,0.9280818099122662
test,裂隙水,裂隙水1,TCN,0.3096884351126667,0.2129976160543998,0.8634370460205719,0.8634370460205719
test,裂隙水,裂隙水1,Stacking,0.2700536002500524,0.17558011986330727,0.8961556504633306,0.8961556504633306
future_holdout,裂隙水,裂隙水1,Persistence,0.7050508255910999,0.545666666666682,-1.365348592407595,-1.365348592407595
future_holdout,裂隙水,裂隙水1,LSTM,0.39901889395092643,0.3290208804862194,0.2423978058991797,0.2423978058991797
future_holdout,裂隙水,裂隙水1,Transformer,0.5100197535378206,0.4407222383903274,-0.23773678149337596,-0.23773678149337596
future_holdout,裂隙水,裂隙水1,TCN,0.4230099404233814,0.3330549607762407,0.1485572554852076,0.1485572554852076
future_holdout,裂隙水,裂隙水1,Stacking,0.8670546078580089,0.8490202071454102,-2.5772327985520738,-2.5772327985520738
test,裂隙水,裂隙水2,Persistence,0.05812797767528114,0.04113821138211384,0.9461104016324112,0.9461104016324112
test,裂隙水,裂隙水2,LSTM,0.04875013864649188,0.0302028362738759,0.9620958964541549,0.9620958964541549
test,裂隙水,裂隙水2,Transformer,0.047829584605972045,0.02958575984317998,0.9635138753415363,0.9635138753415363
test,裂隙水,裂隙水2,TCN,0.05742594820324451,0.03922419741691813,0.947404223744266,0.947404223744266
test,裂隙水,裂隙水2,Stacking,0.04837979379682268,0.030920235680333568,0.9626696084298348,0.9626696084298348
future_holdout,裂隙水,裂隙水2,Persistence,0.2946806180709305,0.272333333333332,-5.853061618190038,-5.853061618190038
future_holdout,裂隙水,裂隙水2,LSTM,0.05262625898509414,0.04160992750444924,0.781432044502447,0.781432044502447
future_holdout,裂隙水,裂隙水2,Transformer,0.05024196489369434,0.04622688883799621,0.800788353948023,0.800788353948023
future_holdout,裂隙水,裂隙水2,TCN,0.035024311568333,0.028039419204880765,0.9031898912889114,0.9031898912889114
future_holdout,裂隙水,裂隙水2,Stacking,0.057265874387302795,0.04696665653970153,0.7411946289134449,0.7411946289134449
test,裂隙水,裂隙水3,Persistence,0.07387640744673331,0.05845528455284505,0.9617088369266568,0.9617088369266568
