well,model,RMSE,MAE,R2,NSE
岩溶水,LSTM,0.3243722549672013,0.23612797407957262,0.9815040514408079,0.9815040514408079
岩溶水,Transformer,0.38766203697629886,0.2865295570756825,0.9735822542655967,0.9735822542655967
岩溶水,TCN,0.5663796427574769,0.43716268302978434,0.9436096903436614,0.9436096903436614
岩溶水,Stacking,0.4109626693606338,0.308270304255941,0.9703111102978457,0.9703111102978457
孔隙水,LSTM,0.04429424142047814,0.030520614957615884,0.9897251913771022,0.9897251913771022
孔隙水,Transformer,0.03652883824926625,0.025444755500016986,0.9930120317146256,0.9930120317146256
孔隙水,TCN,0.06387242983332027,0.047446635197918446,0.9786348433948283,0.9786348433948283
孔隙水,Stacking,0.03683492598934656,0.025816605803104256,0.992894431870482,0.992894431870482
裂隙水,LSTM,0.09581430852904355,0.06702007139996212,0.9533790827483142,0.9533790827483142
裂隙水,Transformer,0.0867923647895284,0.052385920400621386,0.9617454482482243,0.9617454482482243
裂隙水,TCN,0.10957045750879016,0.0817121749935442,0.9390312874266827,0.9390312874266827
裂隙水,Stacking,0.09592633387366525,0.06462471739737081,0.9532700013890419,0.9532700013890419
