well,model,RMSE,MAE,R2,NSE
岩溶水,LSTM,0.05328630892254406,0.037554985017478275,0.9242588855730661,0.9242588855730661
岩溶水,Transformer,0.06064707982005144,0.04546493769227694,0.9018884350823613,0.9018884350823613
岩溶水,TCN,0.05897496839674781,0.04477811704075505,0.9072239564383721,0.9072239564383721
岩溶水,Stacking,0.06447164591084997,0.04732280892394623,0.8891239030570786,0.8891239030570786
孔隙水,LSTM,0.03774771683176078,0.026164171086798766,0.9745715425845621,0.9745715425845621
孔隙水,Transformer,0.03235578929722424,0.02201436783469951,0.9813171711514118,0.9813171711514118
孔隙水,TCN,0.04904333957995843,0.035768274865864355,0.9570761459780279,0.9570761459780279
孔隙水,Stacking,0.0389903310202303,0.02677440690289395,0.9728698320272252,0.9728698320272252
裂隙水,LSTM,0.047589812332189986,0.036242654277417075,0.9797705349205823,0.9797705349205823
裂隙水,Transformer,0.04909337310464772,0.03926689356579272,0.9784720755887051,0.9784720755887051
裂隙水,TCN,0.05894811459622287,0.046349063127952575,0.9689618196070807,0.9689618196070807
裂隙水,Stacking,0.05500464306872071,0.04295578007721364,0.972975658748835,0.972975658748835
