well,model,RMSE,MAE,R2,NSE
岩溶水,LSTM,0.39825292930134315,0.28675608391296226,0.9724469786752507,0.9724469786752507
岩溶水,Transformer,0.5601461864316418,0.42564953519390647,0.9454927793504243,0.9454927793504243
岩溶水,TCN,0.7168166169523913,0.5909314572436154,0.9107378384536305,0.9107378384536305
岩溶水,Stacking,0.5731845775399352,0.4072000387762236,0.9429257433897515,0.9429257433897515
孔隙水,LSTM,0.05799311263654395,0.04592694502135907,0.9699593550254129,0.9699593550254129
孔隙水,Transformer,0.04390296648639902,0.03477574889930535,0.9827835285410824,0.9827835285410824
孔隙水,TCN,0.06523666064768296,0.051081630249082036,0.9619863248611961,0.9619863248611961
孔隙水,Stacking,0.06070938185146635,0.048392784303724394,0.9670793776781709,0.9670793776781709
裂隙水,LSTM,0.08744093361793188,0.06332494665459086,0.9576361960189501,0.9576361960189501
裂隙水,Transformer,0.08664508681860497,0.059074637086606666,0.9584038380563784,0.9584038380563784
裂隙水,TCN,0.11397013813885695,0.08543887103110127,0.9280306587966656,0.9280306587966656
裂隙水,Stacking,0.1134829212463112,0.08053940395226064,0.9286446745281235,0.9286446745281235
