split,well,seed,scenario_id,aquifer,model_a,model_b,p_a_better_than_b,p_b_better_than_a,a_win_rate,b_win_rate,tie_rate,dominates,dominance_label,loss
test,孔隙水4,,孔隙水4,孔隙水4,DynamicGatedStacking,Transformer,0.9984,0.0016,0.9984,0.0016,0.0,True,reproducible,squared
test,孔隙水4,,孔隙水4,孔隙水4,TCN,DynamicGatedStacking,0.0022,0.9978,0.0022,0.9978,0.0,False,unstable,squared
test,孔隙水4,,孔隙水4,孔隙水4,DynamicGatedStacking,TCN,0.9978,0.0022,0.9978,0.0022,0.0,True,reproducible,squared
test,孔隙水5,,孔隙水5,孔隙水5,LSTM,Transformer,0.0084,0.9916,0.0084,0.9916,0.0,False,unstable,squared
test,孔隙水5,,孔隙水5,孔隙水5,Transformer,LSTM,0.9916,0.0084,0.9916,0.0084,0.0,True,reproducible,squared
test,孔隙水5,,孔隙水5,孔隙水5,LSTM,TCN,0.6836,0.3164,0.6836,0.3164,0.0,False,unstable,squared
test,孔隙水5,,孔隙水5,孔隙水5,TCN,LSTM,0.3164,0.6836,0.3164,0.6836,0.0,False,unstable,squared
test,孔隙水5,,孔隙水5,孔隙水5,LSTM,DynamicGatedStacking,0.0038,0.9962,0.0038,0.9962,0.0,False,unstable,squared
test,孔隙水5,,孔隙水5,孔隙水5,DynamicGatedStacking,LSTM,0.9962,0.0038,0.9962,0.0038,0.0,True,reproducible,squared
test,孔隙水5,,孔隙水5,孔隙水5,Transformer,TCN,1.0,0.0,1.0,0.0,0.0,True,reproducible,squared
test,孔隙水5,,孔隙水5,孔隙水5,TCN,Transformer,0.0,1.0,0.0,1.0,0.0,False,unstable,squared
test,孔隙水5,,孔隙水5,孔隙水5,Transformer,DynamicGatedStacking,0.961,0.039,0.961,0.039,0.0,True,reproducible,squared
test,孔隙水5,,孔隙水5,孔隙水5,DynamicGatedStacking,Transformer,0.039,0.961,0.039,0.961,0.0,False,unstable,squared
test,孔隙水5,,孔隙水5,孔隙水5,TCN,DynamicGatedStacking,0.0,1.0,0.0,1.0,0.0,False,unstable,squared
test,孔隙水5,,孔隙水5,孔隙水5,DynamicGatedStacking,TCN,1.0,0.0,1.0,0.0,0.0,True,reproducible,squared
test,岩溶水1,,岩溶水1,岩溶水1,LSTM,Transformer,0.8396,0.1604,0.8396,0.1604,0.0,False,trend,squared
test,岩溶水1,,岩溶水1,岩溶水1,Transformer,LSTM,0.1604,0.8396,0.1604,0.8396,0.0,False,unstable,squared
test,岩溶水1,,岩溶水1,岩溶水1,LSTM,TCN,0.9788,0.0212,0.9788,0.0212,0.0,True,reproducible,squared
test,岩溶水1,,岩溶水1,岩溶水1,TCN,LSTM,0.0212,0.9788,0.0212,0.9788,0.0,False,unstable,squared
test,岩溶水1,,岩溶水1,岩溶水1,LSTM,DynamicGatedStacking,0.7644,0.2356,0.7644,0.2356,0.0,False,trend,squared
test,岩溶水1,,岩溶水1,岩溶水1,DynamicGatedStacking,LSTM,0.2356,0.7644,0.2356,0.7644,0.0,False,unstable,squared
test,岩溶水1,,岩溶水1,岩溶水1,Transformer,TCN,0.8158,0.1842,0.8158,0.1842,0.0,False,trend,squared
test,岩溶水1,,岩溶水1,岩溶水1,TCN,Transformer,0.1842,0.8158,0.1842,0.8158,0.0,False,unstable,squared
test,岩溶水1,,岩溶水1,岩溶水1,Transformer,DynamicGatedStacking,0.2218,0.7782,0.2218,0.7782,0.0,False,unstable,squared
test,岩溶水1,,岩溶水1,岩溶水1,DynamicGatedStacking,Transformer,0.7782,0.2218,0.7782,0.2218,0.0,False,trend,squared
test,岩溶水1,,岩溶水1,岩溶水1,TCN,DynamicGatedStacking,0.0002,0.9998,0.0002,0.9998,0.0,False,unstable,squared
test,岩溶水1,,岩溶水1,岩溶水1,DynamicGatedStacking,TCN,0.9998,0.0002,0.9998,0.0002,0.0,True,reproducible,squared
test,岩溶水2,,岩溶水2,岩溶水2,LSTM,Transformer,0.003,0.997,0.003,0.997,0.0,False,unstable,squared
test,岩溶水2,,岩溶水2,岩溶水2,Transformer,LSTM,0.997,0.003,0.997,0.003,0.0,True,reproducible,squared
test,岩溶水2,,岩溶水2,岩溶水2,LSTM,TCN,0.8504,0.1496,0.8504,0.1496,0.0,False,trend,squared
test,岩溶水2,,岩溶水2,岩溶水2,TCN,LSTM,0.1496,0.8504,0.1496,0.8504,0.0,False,unstable,squared
test,岩溶水2,,岩溶水2,岩溶水2,LSTM,DynamicGatedStacking,0.0026,0.9974,0.0026,0.9974,0.0,False,unstable,squared
test,岩溶水2,,岩溶水2,岩溶水2,DynamicGatedStacking,LSTM,0.9974,0.0026,0.9974,0.0026,0.0,True,reproducible,squared
test,岩溶水2,,岩溶水2,岩溶水2,Transformer,TCN,1.0,0.0,1.0,0.0,0.0,True,reproducible,squared
test,岩溶水2,,岩溶水2,岩溶水2,TCN,Transformer,0.0,1.0,0.0,1.0,0.0,False,unstable,squared
test,岩溶水2,,岩溶水2,岩溶水2,Transformer,DynamicGatedStacking,0.8504,0.1496,0.8504,0.1496,0.0,False,trend,squared
