dropout,model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,NSE_mean,NSE_std
0.0,LSTM,0.030501907041083905,0.007465542060942323,0.04315996015062031,0.009735247484616075,0.9616950173303742,0.03480801984417764,0.9616950173303742,0.03480801984417764
0.0,Stacking,0.03696894911082938,0.010380691204003816,0.04990924414877124,0.014320072463604365,0.9462630218419056,0.05443623833300915,0.9462630218419056,0.05443623833300915
0.0,TCN,0.042438786034693275,0.004401219895866603,0.056825246401240224,0.004930125618368993,0.9419840066247734,0.03365423001267836,0.9419840066247734,0.03365423001267836
0.0,Transformer,0.02755260640275731,0.008785975051644742,0.04009603502534023,0.01268790794538454,0.9637616888580028,0.03815808576697249,0.9637616888580028,0.03815808576697249
0.1,LSTM,0.0321266446410639,0.007353949300520049,0.04532733663533448,0.009360233891461036,0.9587988473156998,0.03575078307007655,0.9587988473156998,0.03575078307007655
0.1,Stacking,0.037504240004404894,0.010243042720111289,0.051467597542227426,0.013364017634264489,0.9461142096813884,0.050411309321732344,0.9461142096813884,0.050411309321732344
0.1,TCN,0.041097046757571094,0.0065916499116852705,0.05421055379056394,0.0076890207549933885,0.9434338695396735,0.042485109353083354,0.9434338695396735,0.042485109353083354
0.1,Transformer,0.03167512635482558,0.008908162028295454,0.043176707196217405,0.012936571170485418,0.961556408105233,0.03773544575358566,0.961556408105233,0.03773544575358566
0.2,LSTM,0.03332060346056471,0.006232290608840484,0.046207946028831604,0.007860924048812975,0.9595336543594035,0.030659245995697144,0.9595336543594035,0.030659245995697144
0.2,Stacking,0.03901766530135128,0.010825468460791684,0.052822206666600334,0.012880086320584351,0.9449897979443795,0.04838131311253323,0.9449897979443795,0.04838131311253323
0.2,TCN,0.042298485011523994,0.005709614812934177,0.05565547419097636,0.005726292287974542,0.9444206406744936,0.03275686642561207,0.9444206406744936,0.03275686642561207
0.2,Transformer,0.03558206636425639,0.012151780539911275,0.04736541407397447,0.01422457949011207,0.9538925606074927,0.04505935469927917,0.9538925606074927,0.04505935469927917
0.3,LSTM,0.03743172118760315,0.004795991622079648,0.05127890402240275,0.0070677910714298554,0.9496977807531319,0.0303281575790066,0.9496977807531319,0.0303281575790066
0.3,Stacking,0.03874966224534389,0.007568139190481589,0.052406659295511214,0.01035184272125298,0.9456024081289961,0.045996966117431905,0.9456024081289961,0.045996966117431905
0.3,TCN,0.047812441566786844,0.01038358378630592,0.06202880893843359,0.009022580077785341,0.9340844059852582,0.031701447692668486,0.9340844059852582,0.031701447692668486
0.3,Transformer,0.03201621560692227,0.009603586281665681,0.044317812334332914,0.013292748696152098,0.9579066332084823,0.04313322298133192,0.9579066332084823,0.04313322298133192
0.4,LSTM,0.03192058870957639,0.005991548787213924,0.044170013918530454,0.008310539872178764,0.960876587308308,0.032966203289547545,0.960876587308308,0.032966203289547545
0.4,Stacking,0.03861526761115707,0.011331767874553035,0.051378696402554234,0.013766977624538355,0.9462129049334793,0.05077775699296615,0.9462129049334793,0.05077775699296615
0.4,TCN,0.0437073514297999,0.007350231805496514,0.05819628307899336,0.007896878825536162,0.9378494460879455,0.04148104631391624,0.9378494460879455,0.04148104631391624
0.4,Transformer,0.032407703683107365,0.010500633121088275,0.044446866478298076,0.013293076136735764,0.9578310941997623,0.043036050062618,0.9578310941997623,0.043036050062618
0.5,LSTM,0.030761617227657263,0.006935145771917421,0.04371116786256809,0.009016828046374978,0.9605417998353313,0.03421193499001933,0.9605417998353313,0.03421193499001933
0.5,Stacking,0.04059399908883797,0.010028266644372947,0.053467272958303634,0.012549954712775131,0.9416333059524998,0.05345374137682977,0.9416333059524998,0.05345374137682977
0.5,TCN,0.04699845358275914,0.0018703791478384985,0.061635262623065366,0.00200269527886943,0.9319323917060892,0.03623296822418132,0.9319323917060892,0.03623296822418132
0.5,Transformer,0.03723475274282581,0.013442454533093071,0.04968993988089487,0.014830790283885387,0.9477574827957286,0.05285669048697025,0.9477574827957286,0.05285669048697025
