lookback,well,model,RMSE,MAE,R2,NSE
12,岩溶水,LSTM,0.3396951346422546,0.24539971252889003,0.980410206105755,0.980410206105755
12,岩溶水,Transformer,0.48376864538601944,0.3544715166988251,0.9602692606148312,0.9602692606148312
12,岩溶水,TCN,0.5183053691357741,0.4071046715848166,0.9543939321583309,0.9543939321583309
12,岩溶水,Stacking,0.43137271778364245,0.3131616653418744,0.9684094954183271,0.9684094954183271
12,孔隙水,LSTM,0.05305545573215309,0.03691433200383565,0.985012181844612,0.985012181844612
12,孔隙水,Transformer,0.04311910993758895,0.029613059301605665,0.9901003944222001,0.9901003944222001
12,孔隙水,TCN,0.07919047344335707,0.06049527428954823,0.9666094021269371,0.9666094021269371
12,孔隙水,Stacking,0.043980248879522385,0.03006602805244918,0.9897010326383446,0.9897010326383446
12,裂隙水,LSTM,0.0940915054991371,0.06484032417054364,0.9540911276685679,0.9540911276685679
12,裂隙水,Transformer,0.09202282845880361,0.06346578493691692,0.9560876230374507,0.9560876230374507
12,裂隙水,TCN,0.11597639232980889,0.08390925859442859,0.9302514826166847,0.9302514826166847
12,裂隙水,Stacking,0.0952040869922198,0.06512493145186227,0.9529990132926772,0.9529990132926772
18,岩溶水,LSTM,0.341814073673405,0.2458709713069134,0.9797064954086419,0.9797064954086419
18,岩溶水,Transformer,0.497209279973729,0.3623811648658027,0.9570606342457909,0.9570606342457909
18,岩溶水,TCN,0.516938469884958,0.41984993928258313,0.9535853713907858,0.9535853713907858
18,岩溶水,Stacking,0.4403486839061932,0.31108821784470103,0.9663201166135034,0.9663201166135034
18,孔隙水,LSTM,0.04975940317809998,0.03575518227650134,0.9869363944805645,0.9869363944805645
18,孔隙水,Transformer,0.05084036068641487,0.03954367505633642,0.9863626502704542,0.9863626502704542
18,孔隙水,TCN,0.06568644597271077,0.05198600505168348,0.9772351778720654,0.9772351778720654
18,孔隙水,Stacking,0.04548634398969053,0.03230804516089457,0.9890837167775164,0.9890837167775164
18,裂隙水,LSTM,0.09813315606840385,0.07303939445387338,0.9505847786704399,0.9505847786704399
18,裂隙水,Transformer,0.0942347774797838,0.060335169656618046,0.9544328747306068,0.9544328747306068
18,裂隙水,TCN,0.11637469500489041,0.0828125189187311,0.9305061578299237,0.9305061578299237
18,裂隙水,Stacking,0.10010616111325801,0.07387868672127453,0.9485777794635635,0.9485777794635635
26,岩溶水,LSTM,0.3423053118566993,0.24820020246684843,0.9796481238638054,0.9796481238638054
26,岩溶水,Transformer,0.40408424047031155,0.29856058893922355,0.971639035267585,0.971639035267585
26,岩溶水,TCN,0.5175885881843968,0.3996939909168887,0.953468552946425,0.953468552946425
26,岩溶水,Stacking,0.4316388525564642,0.3096829846994958,0.9676392757721104,0.9676392757721104
26,孔隙水,LSTM,0.040901105468571,0.026991317014539547,0.9911736158649362,0.9911736158649362
26,孔隙水,Transformer,0.03812526314236066,0.02690284796852736,0.9923310054010801,0.9923310054010801
26,孔隙水,TCN,0.07731204409660937,0.05796932051053716,0.9684639682561829,0.9684639682561829
26,孔隙水,Stacking,0.03916458886568466,0.02738305038585353,0.99190718009525,0.99190718009525
26,裂隙水,LSTM,0.09047235894760632,0.06370755944410539,0.9579988636738852,0.9579988636738852
26,裂隙水,Transformer,0.09820798614401088,0.07102875802469767,0.9505093881555845,0.9505093881555845
26,裂隙水,TCN,0.12250508305633458,0.08820759938730638,0.9229917188015504,0.9229917188015504
26,裂隙水,Stacking,0.09610830509987807,0.06491016472290584,0.9526029787199343,0.9526029787199343
32,岩溶水,LSTM,0.3243722549672013,0.23612797407957262,0.9815040514408079,0.9815040514408079
32,岩溶水,Transformer,0.38766203697629886,0.2865295570756825,0.9735822542655967,0.9735822542655967
32,岩溶水,TCN,0.5663796427574769,0.43716268302978434,0.9436096903436614,0.9436096903436614
32,岩溶水,Stacking,0.4109626693606338,0.308270304255941,0.9703111102978457,0.9703111102978457
32,孔隙水,LSTM,0.04429424142047814,0.030520614957615884,0.9897251913771022,0.9897251913771022
32,孔隙水,Transformer,0.03652883824926625,0.025444755500016986,0.9930120317146256,0.9930120317146256
32,孔隙水,TCN,0.06387242983332027,0.047446635197918446,0.9786348433948283,0.9786348433948283
32,孔隙水,Stacking,0.03683492598934656,0.025816605803104256,0.992894431870482,0.992894431870482
32,裂隙水,LSTM,0.09581430852904355,0.06702007139996212,0.9533790827483142,0.9533790827483142
32,裂隙水,Transformer,0.0867923647895284,0.052385920400621386,0.9617454482482243,0.9617454482482243
32,裂隙水,TCN,0.10957045750879016,0.0817121749935442,0.9390312874266827,0.9390312874266827
32,裂隙水,Stacking,0.09592633387366525,0.06462471739737081,0.9532700013890419,0.9532700013890419
38,岩溶水,LSTM,0.3703411765354165,0.2692804052242819,0.9758241973247305,0.9758241973247305
38,岩溶水,Transformer,0.4200577348487716,0.33362386878749656,0.9688975306617145,0.9688975306617145
38,岩溶水,TCN,0.5575456545601817,0.4314975853551284,0.9452053989779621,0.9452053989779621
38,岩溶水,Stacking,0.42692364716468933,0.3090434394116574,0.967872471302881,0.967872471302881
38,孔隙水,LSTM,0.04565379475948377,0.02961459138369529,0.9891600277758066,0.9891600277758066
38,孔隙水,Transformer,0.040858473555071446,0.029736819341341317,0.9913176221804865,0.9913176221804865
