lookback,model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,NSE_mean,NSE_std
12,LSTM,0.11571812290108978,0.11317221954136382,0.1622806986245149,0.15500935754250153,0.9731711718729783,0.01668324339890029,0.9731711718729783,0.01668324339890029
12,Stacking,0.13611754161539527,0.15432351728252558,0.19018568455179488,0.21043849255099273,0.9703698471164497,0.01842937302508378,0.9703698471164497,0.01842937302508378
12,TCN,0.18383640148959782,0.19371007714814675,0.23782407830298002,0.24359929564246066,0.9504182723006509,0.018502134505415196,0.9504182723006509,0.018502134505415196
12,Transformer,0.14918345364578256,0.17858861492908049,0.20630352792747067,0.24153273479181916,0.968819092691494,0.018548365850450464,0.968819092691494,0.018548365850450464
18,LSTM,0.1182218493457627,0.11210821500903209,0.16323554430663625,0.15653345762255255,0.9724092228532154,0.019243119109511844,0.9724092228532154,0.019243119109511844
18,Stacking,0.1390916499089567,0.15039662262229075,0.19531372966971391,0.21395660238447448,0.9679938709515277,0.02030477356703376,0.9679938709515277,0.02030477356703376
18,TCN,0.1848828210843326,0.2040704007569246,0.2329998702875197,0.24720066930229545,0.953775569030925,0.02336509062429364,0.953775569030925,0.02336509062429364
18,Transformer,0.15408666985958572,0.18068762837933758,0.21409480604664255,0.246142484879119,0.965952053082284,0.0177248593280939,0.965952053082284,0.0177248593280939
26,LSTM,0.11296635964183112,0.11854604505614169,0.1578929254242922,0.16161767692657347,0.9762735344675423,0.016842860087569456,0.9762735344675423,0.016842860087569456
26,Stacking,0.13399206660275173,0.15330539815634078,0.18897058217400897,0.21207678749087414,0.9707164781957648,0.019831967691203826,0.9707164781957648,0.019831967691203826
26,TCN,0.1819569702715774,0.1891709438496828,0.23913523844578025,0.2422040538019462,0.948308080001386,0.023171193935109118,0.948308080001386,0.023171193935109118
26,Transformer,0.13216406497748287,0.14578280548296468,0.1801391632522277,0.1962550167727781,0.9714931429414165,0.020911190322057467,0.9714931429414165,0.020911190322057467
32,LSTM,0.11122288681238353,0.10969964994959998,0.15482693497224098,0.1490731061521926,0.9748694418554081,0.019059733376333602,0.9748694418554081,0.019059733376333602
32,Stacking,0.13290387581880536,0.15310635371687234,0.18124130974121522,0.20112651719871105,0.9721585145191232,0.019876708719307974,0.9721585145191232,0.019876708719307974
32,TCN,0.188773831073749,0.21579225689630138,0.24660751003319578,0.27787180512537335,0.9537586070550574,0.02166473618906195,0.9537586070550574,0.02166473618906195
32,Transformer,0.12145341099210695,0.1435933741365,0.17032774667169784,0.189887468864376,0.9761132447428156,0.01578620426233582,0.9761132447428156,0.01578620426233582
38,LSTM,0.12362448781146514,0.127907815217283,0.1714518719184597,0.17424758138813085,0.9721148449852937,0.01917091911725162,0.9721148449852937,0.01917091911725162
38,Stacking,0.13557446028992956,0.15100729861869067,0.187355395085726,0.20871649232142792,0.972135898144543,0.015726805930097513,0.972135898144543,0.015726805930097513
38,TCN,0.19629785050624782,0.2037902044814023,0.2555539168942814,0.26171697782634273,0.9442515463175943,0.009586209860563275,0.9442515463175943,0.009586209860563275
38,Transformer,0.1415025020568702,0.1671215475946269,0.18473947145951172,0.20547165274297088,0.9721498843444124,0.017766252150908973,0.9721498843444124,0.017766252150908973
44,LSTM,0.11174856477165002,0.11138432812041883,0.15495524855456447,0.1548729217227153,0.976360742497722,0.017619737449984393,0.976360742497722,0.017619737449984393
44,Stacking,0.13841928319654861,0.15884259837684445,0.18547824840753083,0.2081067540239091,0.972919689099748,0.01601308124015584,0.972919689099748,0.01601308124015584
44,TCN,0.17966205112233413,0.1900037812769008,0.2348155557322277,0.24648955664103223,0.9525606136994879,0.024933130971732997,0.9525606136994879,0.024933130971732997
44,Transformer,0.12632355083591493,0.13743518016788422,0.17413656567505345,0.18424203951535226,0.973944227760975,0.014792265875514233,0.973944227760975,0.014792265875514233
50,LSTM,0.12552792666206705,0.1354794829319463,0.16967948958348797,0.18060124909657974,0.97509502256914,0.015386157556434483,0.97509502256914,0.015386157556434483
50,Stacking,0.14998318732933677,0.17042436231088431,0.19787868712273238,0.2195217450374744,0.9686937868339843,0.01805117968341462,0.9686937868339843,0.01805117968341462
50,TCN,0.18715625727572438,0.18989847609391755,0.24289384477894047,0.2491787821317569,0.9482109028933937,0.023346634932375925,0.9482109028933937,0.023346634932375925
50,Transformer,0.13917569113247555,0.14910113253216542,0.18478164885620893,0.1897366528154956,0.9700369851372305,0.01367354858724708,0.9700369851372305,0.01367354858724708
