well,model,RMSE,MAE,R2,NSE
岩溶水,LSTM,0.3680781258263643,0.27080811304573477,0.976464074080621,0.976464074080621
岩溶水,Transformer,0.4580962610709587,0.3242585005885123,0.9635443568196193,0.9635443568196193
岩溶水,TCN,0.6050977673072379,0.45896634798280783,0.9363933721869695,0.9363933721869695
岩溶水,Stacking,0.5438142003297448,0.3888933617856107,0.9486249380752619,0.9486249380752619
孔隙水,LSTM,0.044580941649087484,0.03342172001982612,0.9822476893250073,0.9822476893250073
孔隙水,Transformer,0.035274729318311486,0.026732534504768164,0.9888856570265478,0.9888856570265478
孔隙水,TCN,0.05573346579017936,0.04546494680514635,0.9722547580928035,0.9722547580928035
孔隙水,Stacking,0.052495659817249136,0.04134193023908256,0.9753848088798606,0.9753848088798606
裂隙水,LSTM,0.08914928460770398,0.06352647236314526,0.9559646854584618,0.9559646854584618
裂隙水,Transformer,0.08998110703083177,0.06464699867947521,0.9551390938374468,0.9551390938374468
裂隙水,TCN,0.11614221892746059,0.08315108884683332,0.925261286819788,0.925261286819788
裂隙水,Stacking,0.12941208355789074,0.07935936237016905,0.9072070382099082,0.9072070382099082
