well,model,true_peak_count,pred_peak_count,tp,fp,fn,precision,recall,f1,detection_rate,amplitude_mae,amplitude_rmse,amplitude_mape,max_amplitude_error,mean_timing_error,std_timing_error,max_timing_error,composite_score
孔隙水,LSTM,2,2,2,0,0,1.0,1.0,1.0,1.0,0.025200519405485622,0.026379149884784105,0.12169908754136763,0.03299752975161496,1.5,0.5,2.0,0.879635346517337
孔隙水,Transformer,2,2,2,0,0,1.0,1.0,1.0,1.0,0.012069054951068026,0.016887207223860216,0.05819366415591882,0.023880730548107465,1.5,0.5,2.0,0.8798255205435213
孔隙水,TCN,2,2,2,0,0,1.0,1.0,1.0,1.0,0.026219714549183593,0.027098595639325797,0.12661363378749474,0.03306518418851567,2.0,0.0,2.0,0.8662873060875185
孔隙水,Stacking,2,3,2,1,0,0.6666666666666666,1.0,0.8,1.0,0.005480220578169437,0.0072084576589624885,0.026428081276307427,0.010163066319346825,1.5,0.5,2.0,0.7799207367039394
