Date,TASMAX,TAS,TASMIN,Humidity,Precipitation,GWL
1988-02-15,8.600000128149986,3.257142905678068,-1.700000025331974,77.58571544183152,28.800000190734863,113.81
1988-02-22,10.30000015348196,4.057142917598997,-3.1000000461936,72.51428679483277,1.2999999821186066,113.82
1988-02-29,5.200000077486038,1.9714286008051465,-0.1000000014901161,81.24285835347006,9.400000125169754,113.84
1988-03-07,7.200000107288361,2.1571428892867908,-2.0000000298023224,77.65714401432446,7.60000017285347,113.86
1988-03-14,8.50000012665987,3.5571429101484164,-3.6000000536441803,81.34285835496017,26.399999916553497,113.87
1988-03-21,15.400000229477882,7.700000114738941,-0.2000000029802322,75.11428683357579,19.50000011920929,113.89
1988-03-28,13.000000193715096,7.614285827747413,3.200000047683716,78.6857154582228,27.999999910593036,113.91
1988-04-04,14.300000213086603,7.700000114738941,0.2000000029802322,73.58571538222688,12.300000287592413,113.93
1988-04-11,18.100000269711018,9.21428585158927,-0.2000000029802322,72.0000010728836,3.2999998927116394,113.86
1988-04-18,22.30000033229589,11.557143029357706,-1.0000000149011612,66.77142956640039,9.599999964237211,113.79
1988-04-25,24.600000366568565,11.414285884371823,0.2000000029802322,57.81428657578571,3.200000047683716,113.72
1988-05-02,22.800000339746475,12.31428589778287,2.500000037252903,66.95714385488203,8.200000196695328,113.64
1988-05-09,25.30000037699937,16.12857166890587,7.800000116229057,63.9000009521842,0.4000000059604645,113.56
1988-05-16,25.80000038444996,18.21428598569972,10.100000150501728,57.12857227985348,17.299999952316284,113.483333333333
1988-05-23,22.100000329315662,13.628571631652967,4.500000067055225,68.94285817018577,38.60000115633011,113.406666666667
1988-05-30,27.60000041127205,17.15714311280421,7.800000116229057,71.60000106692314,12.299999870359898,113.33
1988-06-06,22.500000335276127,14.214285926095076,9.00000013411045,76.48571542544025,20.2999996393919,113.28
1988-06-13,24.100000359117985,16.100000239908695,9.3000001385808,79.72857261661973,10.90000020712614,113.22
1988-06-20,26.30000039190054,18.91428599613053,9.100000135600569,60.00000089406967,0.2000000029802322,113.16
1988-06-27,26.00000038743019,17.842857408736432,8.50000012665987,66.07142955596957,0.800000011920929,113.1
1988-07-04,26.30000039190054,19.01428599762065,13.100000195205212,72.471429651337,25.69999972730875,113.05
1988-07-11,28.300000421702865,19.44285743257829,10.500000156462193,67.40000100433826,12.30000002682209,113.0
1988-07-18,24.100000359117985,16.057143096412933,11.800000175833702,76.75714400091341,17.399999976158142,112.955
1988-07-25,32.70000048726797,21.428571747882025,10.500000156462193,68.01428672777755,5.099999815225601,112.91
1988-08-01,30.500000454485416,19.042857426617825,9.3000001385808,65.2142866860543,16.50000011920929,112.85
1988-08-08,30.100000448524952,19.60000029206276,9.100000135600569,66.5142867054258,3.400000050663948,112.8
1988-08-15,30.800000458955765,23.05714320072106,13.600000202655792,62.257143784846576,0.800000011920929,112.75
1988-08-22,29.300000436604023,18.64285742065736,11.000000163912771,67.70000100880861,10.500000149011612,112.69
1988-08-29,27.60000041127205,17.100000254809856,11.60000017285347,73.84285824320146,4.300000041723251,112.65
1988-09-05,26.50000039488077,16.328571671886102,9.00000013411045,77.9571440187948,35.19999957084656,112.645
1988-09-12,25.00000037252903,16.71428596334798,8.900000132620335,72.97142965878759,0.6000000238418579,112.64
1988-09-19,17.600000262260437,12.742857332740511,7.900000117719173,81.02857263599124,9.699999958276749,112.66
1988-09-26,20.80000030994416,14.48571450156825,4.700000070035458,76.07142970498118,4.300000190734863,112.63
1988-10-03,23.80000035464764,13.700000204145908,8.800000131130219,76.52857256893601,4.599999904632568,112.65
