Date,TASMAX,TAS,TASMIN,Humidity,Precipitation,GWL
1969-01-13,3.200000047683716,-3.371428621666772,-10.500000156462193,86.92857272390809,2.600000001490116,262.65
1969-01-20,6.200000092387199,1.7285714543291502,-3.1000000461936,84.55714411714247,1.100000023841858,262.67
1969-01-27,6.500000096857548,2.385714321264199,-1.700000025331974,90.22857277308192,19.900000482797623,263.17
1969-02-03,7.000000104308128,3.0857143316950117,-1.700000025331974,81.4142869274531,6.699999883770943,263.67
1969-02-10,0.9000000134110451,-3.442857194159712,-8.600000128149986,80.98571549249547,9.500000059604645,263.19
1969-02-17,-2.500000037252903,-7.600000113248825,-12.800000190734863,82.10000122338533,28.800000458955765,263.07
1969-02-24,10.30000015348196,0.5000000074505806,-11.500000171363354,85.20000126957893,0.1000000014901161,262.64
1969-03-03,3.200000047683716,-0.8714285844138691,-6.500000096857548,89.85714419611863,1.2999999523162842,263.01
1969-03-10,5.4000000804662704,-0.5714285799435207,-8.00000011920929,73.58571538222688,0.0,263.17
1969-03-17,8.600000128149986,0.12857143048729217,-4.700000070035458,89.35714418866804,28.799999810755253,263.73
1969-03-24,3.9000000581145287,-0.7428571539265769,-5.500000081956387,78.57142974223409,0.1000000014901161,263.35
1969-03-31,8.00000011920929,1.0285714438983373,-2.200000032782554,88.14285845628807,15.899999752640724,263.73
1969-04-07,17.80000026524067,5.628571512443679,-2.600000038743019,69.84285818359682,5.199999928474426,263.35
1969-04-14,22.100000329315662,8.442857268665518,-0.5000000074505806,65.97142955447946,16.50000039488077,263.3
1969-04-21,11.400000169873238,2.457142893757139,-1.80000002682209,79.80000118911266,29.200000762939453,263.69
1969-04-28,22.800000339746475,10.242857295487608,3.9000000581145287,80.92857263450112,27.900000393390656,263.76
1969-05-05,22.600000336766243,11.900000177323818,5.700000084936619,86.45714414545468,24.00000038743019,263.42
1969-05-12,25.700000382959843,13.585714488157205,7.900000117719173,78.45714402624539,5.399999886751175,263.09
1969-05-19,28.80000042915344,15.957143094922815,5.700000084936619,62.84285807928869,2.6999999284744263,262.85
1969-05-26,21.60000032186508,11.400000169873238,2.200000032782554,69.22857246015754,9.500000156462193,262.46
1969-06-02,23.000000342726707,13.657143060650144,6.800000101327896,71.95714392938784,23.000000476837158,262.07
1969-06-09,21.1000003144145,11.314285882881709,5.900000087916851,80.60000120103359,17.999999821186066,262.07
1969-06-16,27.3000004068017,18.628571706158773,6.200000092387199,62.84285807928869,4.400000095367432,262.0
1969-06-23,26.200000390410423,17.50000026077032,10.400000154972076,74.67142968411956,54.59999847412109,263.16
1969-06-30,25.700000382959843,14.928571651024479,9.3000001385808,81.00000120699406,30.99999985843897,263.16
1969-07-07,25.50000037997961,18.857143138136184,8.900000132620335,72.0000010728836,2.800000108778477,262.51
1969-07-14,20.60000030696392,12.742857332740511,7.800000116229057,79.14285832217762,7.000000037252903,262.13
1969-07-21,29.300000436604023,19.371428860085352,10.000000149011612,66.41428670393569,2.900000095367432,261.78
1969-07-28,32.70000048726797,23.642857495163167,15.600000232458116,69.27142960365329,0.0,261.665
1969-08-04,29.800000444054604,22.642857480262006,15.000000223517418,58.57142944421087,2.499999910593033,261.55
1969-08-11,29.300000436604023,18.985714568623475,9.00000013411045,60.52857233051743,0.1000000014901161,261.22
1969-08-18,25.600000381469727,16.671428819852217,7.700000114738941,78.65714402922562,22.60000053048134,261.15
1969-08-25,23.500000350177288,14.55714307406119,7.500000111758709,74.52857253913369,6.899999976158142,261.26
1969-09-01,20.60000030696392,12.471428757267338,8.400000125169754,85.28571555657047,32.30000126361847,261.07
1969-09-08,23.300000347197056,13.342857341681208,6.500000096857548,80.25714405306748,0.0,261.08
1969-09-15,26.30000039190054,17.628571691257612,10.600000157952309,72.77142965580735,0.1000000014901161,260.88
1969-09-22,19.80000029504299,12.300000183284283,2.1000000312924385,81.28571549696582,2.1000000536441803,260.91
1969-09-29,22.600000336766243,12.200000181794167,4.000000059604645,74.80000111460686,3.0999999046325684,260.7
1969-10-06,19.80000029504299,10.0142858635102,3.200000047683716,81.60000121593475,8.800000190734863,260.65
1969-10-13,23.000000342726707,11.38571445537465,2.200000032782554,76.7857154299106,0.0,260.61
1969-10-20,22.30000033229589,11.300000168383121,2.200000032782554,77.20000115036964,0.0,260.54
1969-10-27,20.30000030249357,10.142857293997492,4.500000067055225,85.38571555806058,8.299999952316284,260.515
1969-11-03,13.100000195205212,8.885714418121747,4.700000070035458,81.4285726419517,7.1999999061226845,260.49
1969-11-10,12.90000019222498,6.200000092387199,-1.5000000223517418,75.77142970051084,12.899999618530273,260.41
1969-11-17,16.600000247359276,9.21428585158927,2.7000000402331352,72.8428582283003,0.0,260.6
1969-11-24,11.900000177323818,5.4000000804662704,-0.2000000029802322,81.68571550292629,9.400000169873238,260.61
