Date,TASMAX,TAS,Precipitation,GWL
2000-01-03,5.333333412806193,4.300000064074993,2.1999999061226845,40.01
2000-01-10,5.414285794964859,2.9714286157063077,2.8999999165534973,40.06
2000-01-17,2.400000035762787,0.6285714379378727,2.0999999940395355,40.05
2000-01-24,2.1428571747882024,-1.1571428743856293,7.30000002682209,40.09
2000-01-31,4.61428578304393,2.2285714617797305,25.499999932944775,40.12
2000-02-07,8.871428703623158,6.200000092387199,8.400000058114529,40.15
2000-02-14,7.428571539265769,4.385714351066521,22.700000047683716,40.19
2000-02-21,4.457142923559461,1.4285714498588018,13.000000238418579,40.2
2000-02-28,7.457142968262945,3.8857143436159407,6.999999955296516,40.25
2000-03-06,6.8142858158264845,3.7428571986300603,14.59999993443489,40.28
2000-03-13,9.628571572048324,6.528571525854724,25.50000011920929,40.34
2000-03-20,7.71428582923753,4.142857204590525,21.90000009536743,40.39
2000-03-27,11.10000016540289,5.700000084936619,0.6000000089406966,40.43
2000-04-03,9.771428717034203,6.314285808375904,2.30000002682209,40.49
2000-04-10,9.900000147521496,5.028571503502982,0.1000000014901161,40.54
2000-04-17,13.814285920134612,8.057142977203641,9.199999988079071,40.57
2000-04-24,21.428571747882025,15.000000223517418,2.0000000074505806,40.6
2000-05-01,23.871428927140578,17.557143118764674,10.199999809265137,40.6
2000-05-08,23.800000354647636,16.50000024586916,0.0,40.58
2000-05-15,25.271428948002203,17.828571694237844,0.1000000014901161,40.54
2000-05-22,21.085714599915914,14.171428782599312,9.29999977350235,40.49
2000-05-29,19.14285742810794,13.371428770678383,10.70000010728836,40.435
2000-06-05,22.785714625247888,16.91428596632821,7.8000001683831215,40.38
2000-06-12,23.62857178066458,18.08571455521243,0.6000000014901161,40.31
2000-06-19,24.28571464759963,18.028571697218077,5.600000098347664,40.26
2000-06-26,25.414286092988082,18.985714568623475,21.79999966919422,40.23
2000-07-03,18.571428848164423,14.500000216066837,13.200000032782555,40.18
2000-07-10,19.95714315452746,15.457143087472234,25.100000828504562,40.15
2000-07-17,19.657143150057113,15.300000227987766,4.1000001430511475,40.09
2000-07-24,19.80000029504299,16.00000023841858,2.900000050663948,40.05
2000-07-31,21.014286027422973,17.042857396815503,48.50000025331974,40.025
2000-08-07,22.48571462077754,17.114285969308444,15.100000321865082,40.0
