Date,TASMAX,TAS,Precipitation,GWL
2000-01-03,4.666666736205419,3.966666725774606,2.400000095367432,1.39
2000-01-10,5.742857228432383,3.5857143391455923,2.700000047683716,1.38
2000-01-17,2.571428609745843,0.45714286395481657,6.700000047683716,1.33
2000-01-24,2.0428571732980862,-1.7428571688277381,9.199999831616879,1.4
2000-01-31,4.628571497542517,2.642857182238783,20.500000305473804,1.47
2000-02-07,9.21428585158927,6.41428580986602,8.900000050663948,1.47
2000-02-14,7.257142965282712,4.328571493072169,21.200000166893005,1.5
2000-02-21,4.714285784534046,1.685714310833386,4.000000134110451,1.48
2000-02-28,7.014285818806717,3.957142916108881,5.300000041723251,1.47
2000-03-06,7.442857253764357,4.142857204590525,11.299999915063381,1.47
2000-03-13,9.685714430042676,6.157142948891435,22.49999973922968,1.53
2000-03-20,7.585714398750237,3.957142916108881,13.700000345706941,1.5
2000-03-27,11.442857313369002,6.000000089406967,12.500000312924385,1.515
2000-04-03,9.700000144541264,6.70000009983778,11.8999999538064,1.53
2000-04-10,9.871428718524319,5.057142932500158,1.399999976158142,1.47
2000-04-17,14.271428784089428,9.042857277606215,17.700000166893005,1.47
2000-04-24,23.70000035315752,16.885714537331037,0.2000000029802322,1.43
2000-05-01,24.428571792585508,18.37142884518419,0.2000000029802322,1.28
2000-05-08,23.457143206681526,16.257143099393165,0.0,1.17
2000-05-15,24.85714322754315,17.6428574057562,2.299999952316284,1.09
2000-05-22,20.828571738941328,15.100000225007534,17.299999669194218,1.08
2000-05-29,20.557143163468158,15.071428796010357,2.099999986588955,1.04
2000-06-05,22.55714319327048,16.91428596632821,14.899999618530272,1.02
2000-06-12,23.657143209661758,18.285714558192662,15.700000382959844,0.96
2000-06-19,23.957143214132106,17.757143121744907,9.199999988079071,0.92
2000-06-26,26.057143245424545,19.357143145586765,11.600000128149986,0.905
2000-07-03,18.542857419167245,14.671428790049893,3.100000038743019,0.89
2000-07-10,21.385714604386262,16.942857395325387,9.600000098347664,0.86
2000-07-17,20.142857443009103,15.942857380424227,13.200000368058683,0.9
2000-07-24,19.314286002091,15.957143094922815,7.900000035762787,0.92
2000-07-31,21.857143182839668,17.600000262260437,30.999999955296516,1.06
2000-08-07,24.385714649089746,18.257143129195487,4.599999964237213,1.02
2000-08-14,23.757143211151874,18.14285741320678,3.799999952316284,0.98
2000-08-21,25.357143234993732,19.342857431088174,43.9000004529953,1.06
2000-08-28,21.342857460890496,16.20000024139881,0.6000000014901161,1.035
2000-09-04,19.985714583524636,14.91428593652589,31.500001087784767,1.01
2000-09-11,19.314286002091,15.12857165400471,8.90000020712614,1.15
2000-09-18,17.271428828792914,13.700000204145908,5.100000098347664,1.11
