split,aquifer_type,model,RMSE,MAE,R2,NSE
future_holdout,孔隙水,LSTM,0.25074302693816974,0.20135363010272725,-0.914601797978615,-0.914601797978615
future_holdout,孔隙水,Persistence,0.3833343947850744,0.34750000000000325,-1.2066072568344202,-1.2066072568344202
future_holdout,孔隙水,Stacking,0.24578478119664407,0.21583032938666313,-0.6561631921540078,-0.6561631921540078
future_holdout,孔隙水,TCN,0.17660527900706166,0.14473255829660936,0.561723859815901,0.561723859815901
future_holdout,孔隙水,Transformer,0.2458172622945117,0.20341445228308097,-0.15132886706398718,-0.15132886706398718
future_holdout,岩溶水,LSTM,0.22561490281144356,0.20121996175946796,0.2653424058194023,0.2653424058194023
future_holdout,岩溶水,Persistence,0.6773178150023909,0.6311102222222341,-5.20758558724566,-5.20758558724566
future_holdout,岩溶水,Stacking,0.41003727277542373,0.26372671440453815,-1.3427914242582206,-1.3427914242582206
future_holdout,岩溶水,TCN,0.2709103542847643,0.23722959451633174,-0.03340455781671551,-0.03340455781671551
future_holdout,岩溶水,Transformer,0.36001612552179263,0.3205775199603674,-0.6104949921329537,-0.6104949921329537
future_holdout,裂隙水,LSTM,0.2519191419458103,0.21244557905517417,0.422040836930673,0.422040836930673
future_holdout,裂隙水,Persistence,0.531191619122115,0.45166666666666994,-2.524160931853574,-2.524160931853574
future_holdout,裂隙水,Stacking,0.28920912760646816,0.2585086140999724,0.2558171669685919,0.2558171669685919
future_holdout,裂隙水,TCN,0.2515606256860166,0.2079947223718177,0.4792500116228118,0.4792500116228118
future_holdout,裂隙水,Transformer,0.2275499018860648,0.18081999206338253,0.5228527435508047,0.5228527435508047
test,孔隙水,LSTM,0.1644526951278739,0.11586221071174692,0.9396776660295357,0.9396776660295357
test,孔隙水,Persistence,0.16134683905188862,0.10612466124661361,0.9447021606647428,0.9447021606647428
test,孔隙水,Stacking,0.16810058337451464,0.12298787807548672,0.9381207952642319,0.9381207952642319
test,孔隙水,TCN,0.185004321684037,0.12595503264057065,0.9255970011067652,0.9255970011067652
test,孔隙水,Transformer,0.15842435180686443,0.11360814116013118,0.94527540183791,0.94527540183791
test,岩溶水,LSTM,0.33768374753042574,0.13228277551953124,0.8765730237873335,0.8765730237873335
test,岩溶水,Persistence,0.34693232705611815,0.14568084010840268,0.8359952650224164,0.8359952650224164
test,岩溶水,Stacking,0.3492697971713934,0.1557426166221619,0.8536957212082646,0.8536957212082646
test,岩溶水,TCN,0.3431336077088584,0.16382990355213486,0.8615837493804159,0.8615837493804159
test,岩溶水,Transformer,0.33271737932903106,0.16094949825972849,0.8803981556356509,0.8803981556356509
test,裂隙水,LSTM,0.13778061783734052,0.09432805015131139,0.9277261830372376,0.9277261830372376
test,裂隙水,Persistence,0.12019299044571159,0.08476964769647628,0.9444750280484739,0.9444750280484739
test,裂隙水,Stacking,0.13077905228488318,0.08908795076039316,0.9363996172942034,0.9363996172942034
test,裂隙水,TCN,0.15863327239356204,0.11929175542119903,0.8973856955242375,0.8973856955242375
test,裂隙水,Transformer,0.1118100882232342,0.07731206154442871,0.9517150578021646,0.9517150578021646
