well,model,true_peak_count,pred_peak_count,tp,fp,fn,precision,recall,f1,detection_rate,amplitude_mae,amplitude_rmse,amplitude_mape,max_amplitude_error,mean_timing_error,std_timing_error,max_timing_error,composite_score
岩溶水,LSTM,4,4,4,0,0,1.0,1.0,1.0,1.0,0.16633079285935537,0.19612772269102477,0.16233892663034827,0.2922323939899911,1.75,1.299038105676658,4.0,0.8722410452837944
岩溶水,Transformer,4,4,4,0,0,1.0,1.0,1.0,1.0,0.3753346766510859,0.42500038958132014,0.36528162423044686,0.697056881294273,1.75,1.299038105676658,4.0,0.8716354162058173
岩溶水,TCN,4,2,2,0,2,1.0,0.5,0.6666666666666666,0.5,0.5125432338725275,0.6413592295947845,0.49887560943887843,0.8980832380198365,1.0,0.0,1.0,0.7318441357485436
岩溶水,Stacking,4,3,3,0,1,1.0,0.75,0.8571428571428571,0.75,0.4657852409056697,0.5208193589015934,0.45534679559936153,0.6895439322415626,1.0,0.0,1.0,0.8272115802105666
