well,model,RMSE,MAE,R2,NSE
岩溶水,LSTM,0.05361455848763928,0.03847119489269205,0.9233228641193659,0.9233228641193659
岩溶水,Transformer,0.05867625922591857,0.043357502811136504,0.9081614006544554,0.9081614006544554
岩溶水,TCN,0.06413311888558236,0.04953082749052696,0.8902852201515259,0.8902852201515259
岩溶水,Stacking,0.06491825371554456,0.04853082367399627,0.8875824613745142,0.8875824613745142
孔隙水,LSTM,0.037976175672606756,0.026717637868853852,0.9742628120838116,0.9742628120838116
孔隙水,Transformer,0.032347276955931106,0.022422846221777648,0.9813270002236785,0.9813270002236785
孔隙水,TCN,0.04923401994584821,0.035448534521942916,0.9567417214720236,0.9567417214720236
孔隙水,Stacking,0.037395044740472734,0.026263554623554005,0.9750444726051707,0.9750444726051707
裂隙水,LSTM,0.04091930759534533,0.030572933367183273,0.9850440857217466,0.9850440857217466
裂隙水,Transformer,0.04231706325304455,0.031442762016407944,0.9840048817211533,0.9840048817211533
裂隙水,TCN,0.06122171040554952,0.04614269227692983,0.9665213966402868,0.9665213966402868
裂隙水,Stacking,0.051822790751645385,0.04105142453592095,0.9760117808207528,0.9760117808207528
