seed,split,aquifer_type,well,model,RMSE,MAE,R2,NSE,n_points,actual_range,actual_abs_mean,NRMSE_range,NRMSE_range_percent,NRMSE_mean,NRMSE_mean_percent
40,selection,裂隙水,裂隙水1,LSTM,0.6251743786031447,0.4103100912439621,0.8390254083186688,0.8390254083186688,138,6.929039999999986,196.3614404347826,0.0902252517813645,9.022525178136451,0.0031837940138292,0.3183794013829225
40,selection,裂隙水,裂隙水1,Transformer,0.5771932374336608,0.3283783960388944,0.862786305416441,0.862786305416441,138,6.929039999999986,196.3614404347826,0.0833006069287609,8.330060692876097,0.0029394428771536,0.2939442877153692
40,selection,裂隙水,裂隙水1,TCN,0.5869822323497131,0.3722387502162265,0.8580926463885278,0.8580926463885278,138,6.929039999999986,196.3614404347826,0.0847133560132015,8.471335601320158,0.0029892947976446,0.2989294797644689
40,selection,裂隙水,裂隙水1,DynamicGatedStacking,0.5899954768106165,0.3698293916605512,0.8566319579404773,0.8566319579404773,138,6.929039999999986,196.3614404347826,0.0851482278657097,8.514822786570978,0.003004640195673,0.3004640195673098
40,test,裂隙水,裂隙水1,LSTM,0.3993604098788195,0.3206959558890295,0.831394797082742,0.831394797082742,71,4.359559999999988,195.74704767605635,0.0916056688929205,9.160566889292054,0.0020401861209152,0.2040186120915217
40,test,裂隙水,裂隙水1,Transformer,0.3859242047910999,0.3001568507081889,0.842549157326027,0.842549157326027,71,4.359559999999988,195.74704767605635,0.08852365944983,8.852365944983003,0.0019715454683626,0.1971545468362667
40,test,裂隙水,裂隙水1,TCN,0.4190453203767834,0.3392356186912771,0.8143636829461689,0.8143636829461689,71,4.359559999999988,195.74704767605635,0.0961210122986688,9.612101229866882,0.0021407491216432,0.2140749121643282
40,test,裂隙水,裂隙水1,DynamicGatedStacking,0.3883437915598616,0.3061272918095368,0.8405686636370022,0.8405686636370022,71,4.359559999999988,195.74704767605635,0.0890786665534739,8.907866655347393,0.0019839062513092,0.1983906251309268
40,future_holdout,裂隙水,裂隙水1,LSTM,0.6810133889088905,0.5599925382374041,0.731386738335055,0.731386738335055,52,4.379999999999996,195.6493294230769,0.1554825088833085,15.54825088833085,0.0034807857042854,0.3480785704285499
40,future_holdout,裂隙水,裂隙水1,Transformer,0.8764907202306405,0.6774695020830503,0.5550504268704743,0.5550504268704743,52,4.379999999999996,195.6493294230769,0.2001120365823382,20.01120365823382,0.0044799065900977,0.4479906590097711
