seed,split,model,mean_per_well_nrmse,weighted_rmse,mean_nse,n_wells,n_rows
40,future_holdout,DynamicGatedStacking,0.18108809079640703,0.7951530868889594,0.42612270478884506,15,15
40,future_holdout,TCN,0.18255196097830162,0.7224385478787343,0.48676854167925604,15,15
40,future_holdout,LSTM,0.18995015972979842,0.7848056184163794,0.2681102915857352,15,15
40,future_holdout,Transformer,0.19253543663375308,1.0516422999521766,0.37511183123598457,15,15
41,future_holdout,DynamicGatedStacking,0.16705579040780244,0.6510427053767988,0.5366303527004123,15,15
41,future_holdout,LSTM,0.17313444322500166,0.6667605406256258,0.4901902342362519,15,15
41,future_holdout,Transformer,0.17722771008758492,0.6134545000544738,0.5201884694424381,15,15
41,future_holdout,TCN,0.1875299637636491,0.8562147249271889,0.48845404529913494,15,15
42,future_holdout,LSTM,0.16904787261486706,0.6929840333071422,0.5796419936096835,15,15
42,future_holdout,DynamicGatedStacking,0.17722594680757137,0.7526762183333933,0.40223434993529866,15,15
42,future_holdout,Transformer,0.19204898020437858,0.7935305957899897,0.35438102483651884,15,15
42,future_holdout,TCN,0.1974682995008207,0.8459308295255795,0.32497238947567164,15,15
43,future_holdout,Transformer,0.15919087413408953,0.7634637940261971,0.6600557767850347,15,15
43,future_holdout,LSTM,0.17087226885329165,0.6990685385813413,0.4749673601401811,15,15
43,future_holdout,DynamicGatedStacking,0.17388259979592305,0.7507830964277104,0.4240731496816801,15,15
43,future_holdout,TCN,0.19871087893574943,1.002600527225694,0.3232465983656396,15,15
44,future_holdout,Transformer,0.1465757696132644,0.8639788779912092,0.7590031626733552,15,15
44,future_holdout,DynamicGatedStacking,0.1490324815153561,0.608293477651229,0.6741871648783567,15,15
44,future_holdout,LSTM,0.1674672766238375,0.6285611869368465,0.4777813545799362,15,15
44,future_holdout,TCN,0.1997912805991734,0.8351121501491602,0.3567674798362042,15,15
45,future_holdout,LSTM,0.16420951444550758,0.6485819364532295,0.5607846560472983,15,15
45,future_holdout,DynamicGatedStacking,0.16513310591776525,0.6571566325846017,0.5413842225447377,15,15
45,future_holdout,Transformer,0.20739757453043728,0.8744358323801037,0.47934611465271443,15,15
45,future_holdout,TCN,0.20824215889161257,0.9178444891394687,0.046677422582131194,15,15
46,future_holdout,DynamicGatedStacking,0.16480229921994946,0.7054950565136693,0.5766058311194712,15,15
46,future_holdout,LSTM,0.17332384572825793,0.7379586851318588,0.5111364191144665,15,15
46,future_holdout,TCN,0.17811986298841012,0.8051150988148466,0.5556529421903663,15,15
46,future_holdout,Transformer,0.19079170144016294,0.8038161139381037,0.5338900364148286,15,15
47,future_holdout,LSTM,0.1701773297643095,0.6836237432133956,0.5831880928112732,15,15
47,future_holdout,DynamicGatedStacking,0.17242085598361387,0.6532662453277011,0.572567990757808,15,15
47,future_holdout,Transformer,0.19169985522386726,0.6898889845561184,0.5388315672020263,15,15
47,future_holdout,TCN,0.21304781884943547,0.8137181642406492,0.37079291114967944,15,15
48,future_holdout,LSTM,0.17104089543208287,0.6341632071525865,0.5515993588351393,15,15
48,future_holdout,DynamicGatedStacking,0.17338432446642185,0.7420477322806279,0.49563157433624627,15,15
48,future_holdout,TCN,0.18385229128376326,0.9128773813785099,0.5179854961577959,15,15
48,future_holdout,Transformer,0.18795790999953496,0.9566462375329448,0.5568705967641085,15,15
49,future_holdout,LSTM,0.1594208729350713,0.555647546255765,0.5980677717805578,15,15
49,future_holdout,DynamicGatedStacking,0.1636666542537563,0.5925059567654818,0.5422837197665268,15,15
49,future_holdout,Transformer,0.16446572741598503,0.615010061320208,0.6685219014882265,15,15
49,future_holdout,TCN,0.19587694992458837,0.7961751702026838,0.3758582670981972,15,15
50,future_holdout,LSTM,0.15169529745510443,0.5537512243547563,0.6691318043929204,15,15
50,future_holdout,DynamicGatedStacking,0.15998814835699732,0.6721640548738891,0.6132812789407761,15,15
50,future_holdout,Transformer,0.1717902015344867,0.7333202523795707,0.6235960452057611,15,15
50,future_holdout,TCN,0.20285785410669377,0.949564619857049,0.312444314353442,15,15
40,selection,Transformer,0.05816138336800547,0.5548155837516888,0.9223011225934442,15,15
40,selection,DynamicGatedStacking,0.05892759197560411,0.5694955290810285,0.9210729149087279,15,15
40,selection,TCN,0.06339558355922333,0.6095704509525475,0.9127191813765647,15,15
40,selection,LSTM,0.06650422926337109,0.6442439875715243,0.9055318485127671,15,15
41,selection,Transformer,0.059929863967583596,0.563514196415444,0.9173506584217389,15,15
41,selection,DynamicGatedStacking,0.05995445875046044,0.5672351715706944,0.918876531694589,15,15
41,selection,TCN,0.06518540531314225,0.6214168639193521,0.9088763096373733,15,15
41,selection,LSTM,0.06684422461277054,0.6338263266709256,0.9052325147561143,15,15
42,selection,Transformer,0.05984697120595806,0.5892330493132015,0.9180202070460864,15,15
42,selection,DynamicGatedStacking,0.06019908357317009,0.5877215342613019,0.9186323617393088,15,15
42,selection,TCN,0.0643919881746531,0.6329145848673745,0.9099851816695074,15,15
42,selection,LSTM,0.06695395651550287,0.6555157028301469,0.9044715349589011,15,15
43,selection,Transformer,0.05847410518539777,0.5607103211720352,0.9216341744350776,15,15
43,selection,DynamicGatedStacking,0.05910934864371058,0.5695804047725159,0.9208881071819641,15,15
43,selection,TCN,0.0636439094267159,0.6397291740338101,0.9120761880666567,15,15
43,selection,LSTM,0.06571564323573822,0.636024765678574,0.9066747962738091,15,15
44,selection,DynamicGatedStacking,0.059653567218996076,0.5781134277462163,0.9195883453193401,15,15
44,selection,Transformer,0.06004399672969444,0.5732618027511627,0.9193843385267588,15,15
44,selection,TCN,0.06333939285160226,0.6235786563611264,0.9111947972286644,15,15
44,selection,LSTM,0.06657033466721551,0.6449099923013454,0.90370391778194,15,15
45,selection,DynamicGatedStacking,0.06016208332275174,0.5726596009840241,0.9179704986500937,15,15
45,selection,Transformer,0.06038756122908371,0.5596281351062089,0.9169276588872376,15,15
45,selection,TCN,0.06393865297275744,0.6161751367857962,0.9106511875731299,15,15
45,selection,LSTM,0.06675933228535015,0.6754170583565935,0.9032886112503182,15,15
46,selection,Transformer,0.059431796134705915,0.5600126265770022,0.9202950496698883,15,15
46,selection,DynamicGatedStacking,0.059624799570675895,0.563170990703914,0.9204122899839806,15,15
46,selection,TCN,0.064184794771707,0.599882048973378,0.9121019538215575,15,15
46,selection,LSTM,0.06625833014674819,0.6771092829534898,0.9038307391512189,15,15
47,selection,DynamicGatedStacking,0.05981603519474474,0.5758646630340737,0.9197239927067403,15,15
47,selection,Transformer,0.06044638415682822,0.5713476873108455,0.9182918920941303,15,15
47,selection,TCN,0.06416317405609365,0.6303202212671113,0.9108402780947996,15,15
47,selection,LSTM,0.06576285791475195,0.641237523981124,0.9069356455666981,15,15
48,selection,DynamicGatedStacking,0.05915503964901068,0.5723911284510477,0.9207438835883069,15,15
48,selection,Transformer,0.06055118066645681,0.5685190401197862,0.9181688750908876,15,15
48,selection,TCN,0.0632282078374493,0.6219656058450665,0.9111689328676003,15,15
48,selection,LSTM,0.06557217749258869,0.6383342279250921,0.9069333138317626,15,15
49,selection,DynamicGatedStacking,0.058850850445045566,0.5641951612269284,0.9215276211145854,15,15
49,selection,Transformer,0.05948048718619719,0.5553973470714524,0.9192155278838371,15,15
49,selection,TCN,0.06338117297086325,0.6160488711422554,0.9133731471782739,15,15
49,selection,LSTM,0.06642184518598077,0.638869439035336,0.9047826897070881,15,15
50,selection,DynamicGatedStacking,0.05954114116519702,0.5826824040780108,0.919313830419025,15,15
50,selection,Transformer,0.06003169270812156,0.5623482121949703,0.9171513864412775,15,15
