split,lookback,model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,NSE_mean,NSE_std
selection,12,LSTM,0.11862758195501187,0.1012633740952333,0.20774908454592245,0.21258550464770862,0.9359057550333058,0.03431300619128185,0.9359057550333058,0.03431300619128185
selection,12,Persistence,0.12974439955445283,0.10965402770155235,0.22428742690703599,0.2274398755026684,0.9251521435439787,0.04138468537985724,0.9251521435439787,0.04138468537985724
selection,12,Stacking,0.13506602309293378,0.11738847526924535,0.21743977793412614,0.20986701264180269,0.9299317015027797,0.037739984825143284,0.9299317015027797,0.037739984825143284
selection,12,TCN,0.1452465525372989,0.1184740113627593,0.22800276216984333,0.21631191561417926,0.9224466009730877,0.029453810861030705,0.9224466009730877,0.029453810861030705
selection,12,Transformer,0.11947310476386133,0.11014308344629413,0.20697705426120222,0.21659915735890614,0.9359424619603894,0.03829249983433215,0.9359424619603894,0.03829249983433215
selection,18,LSTM,0.1223144820445621,0.10659659612145861,0.21081743670845007,0.2154181049492961,0.9348099851600185,0.0340505140745676,0.9348099851600185,0.0340505140745676
selection,18,Persistence,0.12972945029333716,0.10955485699503523,0.22438953612387597,0.22772367581260866,0.9251642661694134,0.041489912036064565,0.9251642661694134,0.041489912036064565
selection,18,Stacking,0.13557809895878403,0.12317524506964914,0.21939676707014946,0.22357398005808837,0.9302332756128993,0.03747902994426518,0.9302332756128993,0.03747902994426518
selection,18,TCN,0.14944210943122918,0.12468843101933366,0.2331524631391294,0.22277571884221414,0.9193565429833588,0.03406731951863885,0.9193565429833588,0.03406731951863885
selection,18,Transformer,0.12749137395042537,0.1300773449985667,0.2079982130319405,0.22260733237477928,0.937398518446553,0.034934337217964545,0.937398518446553,0.034934337217964545
selection,26,LSTM,0.12265213812494959,0.10271782192269721,0.21444795459064606,0.2182114103314087,0.9328859238208638,0.033523677905335905,0.9328859238208638,0.033523677905335905
selection,26,Persistence,0.131610605594425,0.11334775578516203,0.22858346825986922,0.23732682254844853,0.9236874267937465,0.042478727325402,0.9236874267937465,0.042478727325402
selection,26,Stacking,0.13612854176193373,0.11922947649675482,0.22916997270966621,0.23208752771739163,0.9221485741943618,0.04880591663137534,0.9221485741943618,0.04880591663137534
selection,26,TCN,0.1487178725608387,0.1218487618616599,0.2377475307482134,0.22965120936762343,0.9172843638510523,0.03333667860475343,0.9172843638510523,0.03333667860475343
selection,26,Transformer,0.12174863343334505,0.1138023005224496,0.21450308132974968,0.23523773623835473,0.9354201161074222,0.03607558628724241,0.9354201161074222,0.03607558628724241
selection,32,LSTM,0.12944016652508072,0.1160931460842091,0.22260869353146293,0.2331189288146176,0.9308999568852026,0.03356085189038771,0.9308999568852026,0.03356085189038771
selection,32,Persistence,0.1357788947622539,0.11845428983572769,0.23716343364198408,0.24908142666598196,0.9211803793753729,0.042481776904569245,0.9211803793753729,0.042481776904569245
