well,model,RMSE,MAE,R2,NSE
岩溶水,LSTM,0.3423053118566993,0.24820020246684843,0.9796481238638054,0.9796481238638054
岩溶水,Transformer,0.40408424047031155,0.29856058893922355,0.971639035267585,0.971639035267585
岩溶水,TCN,0.5175885881843968,0.3996939909168887,0.953468552946425,0.953468552946425
岩溶水,Stacking,0.4316388525564642,0.3096829846994958,0.9676392757721104,0.9676392757721104
孔隙水,LSTM,0.040901105468571,0.026991317014539547,0.9911736158649362,0.9911736158649362
孔隙水,Transformer,0.03812526314236066,0.02690284796852736,0.9923310054010801,0.9923310054010801
孔隙水,TCN,0.07731204409660937,0.05796932051053716,0.9684639682561829,0.9684639682561829
孔隙水,Stacking,0.03916458886568466,0.02738305038585353,0.99190718009525,0.99190718009525
裂隙水,LSTM,0.09047235894760632,0.06370755944410539,0.9579988636738852,0.9579988636738852
裂隙水,Transformer,0.09820798614401088,0.07102875802469767,0.9505093881555845,0.9505093881555845
裂隙水,TCN,0.12250508305633458,0.08820759938730638,0.9229917188015504,0.9229917188015504
裂隙水,Stacking,0.09610830509987807,0.06491016472290584,0.9526029787199343,0.9526029787199343
