well,model,RMSE,MAE,R2,NSE
岩溶水,LSTM,0.3703411765354165,0.2692804052242819,0.9758241973247305,0.9758241973247305
岩溶水,Transformer,0.4200577348487716,0.33362386878749656,0.9688975306617145,0.9688975306617145
岩溶水,TCN,0.5575456545601817,0.4314975853551284,0.9452053989779621,0.9452053989779621
岩溶水,Stacking,0.42692364716468933,0.3090434394116574,0.967872471302881,0.967872471302881
孔隙水,LSTM,0.04565379475948377,0.02961459138369529,0.9891600277758066,0.9891600277758066
孔隙水,Transformer,0.040858473555071446,0.029736819341341317,0.9913176221804865,0.9913176221804865
孔隙水,TCN,0.09473362600698489,0.07227451144771711,0.9533251719776095,0.9533251719776095
孔隙水,Stacking,0.04481465212207528,0.03352366575810167,0.989554855216121,0.989554855216121
裂隙水,LSTM,0.09836064446047887,0.07197846682641817,0.9513603098553438,0.9513603098553438
裂隙水,Transformer,0.09330220597469213,0.061146818041772716,0.9562345001910364,0.9562345001910364
裂隙水,TCN,0.11438247011567769,0.08512145471589791,0.9342240679972116,0.9342240679972116
裂隙水,Stacking,0.09032788597041333,0.06415627570002962,0.9589803679146275,0.9589803679146275
