well,model,RMSE,MAE,R2,NSE
岩溶水,LSTM,0.3312289055681605,0.23822083437290612,0.9806610292013958,0.9806610292013958
岩溶水,Transformer,0.38536389269381843,0.2845048088374211,0.9738230562993666,0.9738230562993666
岩溶水,TCN,0.5176939204390479,0.39803610649030735,0.9527585707792096,0.9527585707792096
岩溶水,Stacking,0.424204403778391,0.32108770236980216,0.9682804334635546,0.9682804334635546
孔隙水,LSTM,0.04071630777270081,0.02826292831622754,0.9914322656885295,0.9914322656885295
孔隙水,Transformer,0.04655949247688592,0.036167391546264506,0.9887967071447087,0.9887967071447087
孔隙水,TCN,0.06613716232766867,0.05214428815223911,0.9773941767428579,0.9773941767428579
孔隙水,Stacking,0.04232886948055117,0.032761752184152344,0.9907401798344816,0.9907401798344816
裂隙水,LSTM,0.09292053232283211,0.06876193162581641,0.9569889326032407,0.9569889326032407
裂隙水,Transformer,0.09048631185445603,0.0582984521240592,0.9592129198388499,0.9592129198388499
裂隙水,TCN,0.12061558442996648,0.08880575872445595,0.9275290935763963,0.9275290935763963
裂隙水,Stacking,0.08990147196365031,0.06140839503569132,0.9597384540012079,0.9597384540012079
